% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.981314459e+02 +5.981314459e+02 +1.598131446e+03 +1.598131446e+03 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
196 +3.938610490e+02 +3.938610490e+02 +1.393861049e+03 +1.393861049e+03 +6.4621e-01 +2.5255e+00 +1.4532e+00 +3.2922e+00 +2.5482e+00 +6.9239e-02 +1.1685e+00 +6.8862e-01 +5.4748e-01 +4.3727e-01 +9.0822e-01 -1.0373e+00 -7.8526e-01 -8.2639e-01 +1.9370e-01 +1.5443e+00 +1.6149e+00 -1.5694e+00 +1.1764e+00 +1.0523e+00
399 +2.355163395e+02 +2.355163395e+02 +1.235516340e+03 +1.235516340e+03 -1.7987e-01 +3.3742e+00 +3.5931e+00 +3.3231e+00 +2.0297e+00 -3.2185e+00 +8.1745e-01 -9.9254e-02 -4.2999e-01 +1.3163e+00 -1.1150e-02 -1.0448e+00 +5.4280e-01 -8.8178e-01 +1.4313e+00 +1.9471e+00 +2.9398e+00 -1.8819e+00 +2.1851e-01 +1.3719e+00
1382 +1.560894231e+02 +1.560894231e+02 +1.156089423e+03 +1.156089423e+03 +2.6475e-01 +2.7651e+00 +2.4943e+00 +3.1261e+00 +3.8481e+00 -2.1284e+00 -1.1324e+00 -1.1886e+00 -1.4023e+00 +8.8421e-01 -2.9052e+00 -1.0412e-01 -6.2030e-01 -1.1326e+00 +4.4809e-01 +3.1777e+00 +3.4500e+00 -1.9387e+00 -1.6915e+00 +1.9311e-01
1652 +9.947351239e+01 +9.947351239e+01 +1.099473512e+03 +1.099473512e+03 +4.2534e-01 +2.7530e+00 +2.4627e+00 +3.1633e+00 +3.9662e+00 -2.1249e+00 -1.2218e+00 -1.2467e+00 -1.1879e+00 +8.6367e-01 -2.8331e+00 -2.6038e-01 -5.5749e-01 -1.0221e+00 +4.0132e-01 +3.2309e+00 +3.5340e+00 -2.1041e+00 -1.8075e+00 +9.7783e-02
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.093033346e+03 +1.093033346e+03 +1.163063346e+03 +1.163063346e+03 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
2 +9.989348877e+02 +9.989348877e+02 +1.068964888e+03 +1.068964888e+03 +7.8405e-01 +8.3336e-01 +2.2275e-01 +1.0072e+00 +3.7290e-01 +8.8525e-02 +2.2903e-01 +7.3519e-01 +1.2855e+00 +1.2977e+00 -1.0148e-01 +9.9380e-01 +5.9293e-01 +1.5133e-01 +7.9823e-01 +6.0168e-01 +1.9086e-01 +1.0271e+00 +7.2453e-01 +1.2947e+00
63 +5.893191976e+02 +5.893191976e+02 +6.593491976e+02 +6.593491976e+02 +1.4519e+00 +7.0693e-01 -6.4551e-01 +7.4777e-01 +4.7471e-01 -2.0230e-01 -8.5080e-01 +4.0064e-01 -9.1750e-01 +1.8445e+00 +2.1262e-01 +1.2288e+00 +1.1569e+00 -8.0746e-01 +7.4971e-01 -3.1670e-01 -1.2072e-01 +2.1504e+00 -2.0647e-01 +1.9415e+00
109 +3.784213533e+02 +3.784213533e+02 +4.484513533e+02 +4.484513533e+02 +3.1716e-01 +5.9874e-01 -1.5685e+00 +2.2449e-01 +3.2252e-02 -8.9497e-01 -1.7490e+00 -1.3505e-01 -1.8178e+00 +9.5924e-01 +1.5698e-01 +1.3476e-01 +9.4324e-01 -2.5788e-01 +4.4438e-01 -4.2955e-01 +1.7048e-01 +1.9431e+00 -1.8437e+00 +4.6762e-01
180 +2.436705625e+02 +2.436705625e+02 +3.137005625e+02 +3.137005625e+02 -1.3428e-01 -1.4324e-01 -2.2966e+00 +6.1359e-03 -3.4609e-01 -9.2737e-01 -1.5856e+00 +2.7799e-02 -1.1832e+00 +7.9000e-01 +7.7477e-03 -1.5521e+00 +2.1347e+00 -5.9557e-01 +2.6589e-02 -2.0638e+00 -5.2606e-01 +2.5612e+00 -1.5511e+00 -6.7704e-01
729 +1.479770518e+02 +1.479770518e+02 +2.180070518e+02 +2.180070518e+02 -1.6393e-01 -1.9477e+00 -3.0547e+00 -1.1050e+00 -7.0259e-02 -2.7321e+00 +1.3091e-01 +9.7800e-01 -1.2959e+00 -2.6619e-01 -8.6058e-01 -6.3686e-01 +4.1438e+00 -2.4273e+00 -1.4472e+00 -2.3453e+00 +6.1948e-01 +2.2705e+00 -1.7313e+00 +8.2358e-01
