% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1422 +2.282984370e-01 +2.282984370e-01 -6.128517016e+02 -6.128517016e+02 +1.0924e+00 +1.0783e+00 +7.9654e-01 -4.9935e-01 +8.5039e-01
1670 +1.559994499e-01 +1.559994499e-01 -6.129240006e+02 -6.129240006e+02 +1.0219e+00 +1.0505e+00 +7.2316e-01 -4.9409e-01 +8.2953e-01
% function evaluation | noise-free fitness - Fopt (-1.852700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.358294715e+01 +1.358294715e+01 -1.716870528e+02 -1.716870528e+02 +4.2242e-01 +7.7571e-01 +2.2977e-01 +1.9869e+00 +1.4632e+00
3 +9.909822981e+00 +9.909822981e+00 -1.753601770e+02 -1.753601770e+02 +7.5323e-01 +8.6855e-01 +5.7390e-01 +1.3361e+00 +1.0575e+00
7 +2.172511260e+00 +2.172511260e+00 -1.830974887e+02 -1.830974887e+02 +1.2462e+00 +1.0033e+00 -9.9492e-02 +1.3245e+00 +1.1890e-01
41 +1.065706300e+00 +1.065706300e+00 -1.842042937e+02 -1.842042937e+02 +1.1526e+00 +8.1307e-01 +2.5935e-01 +1.0186e+00 +3.3700e-01
% function evaluation | noise-free fitness - Fopt (3.747000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.950761968e+00 +3.950761968e+00 +4.142076197e+01 +4.142076197e+01 +4.2242e-01 +7.7571e-01 +2.2977e-01 +1.9869e+00 +1.4632e+00
42 +1.453974685e+00 +1.453974685e+00 +3.892397469e+01 +3.892397469e+01 +3.4381e-01 -1.0221e-01 -3.0921e-01 +1.9266e+00 -1.8264e-01
2486 +7.149622534e-01 +7.149622534e-01 +3.818496225e+01 +3.818496225e+01 +8.7300e-01 +3.7862e-01 +1.2587e+00 +9.2549e-01 +1.7934e+00
% function evaluation | noise-free fitness - Fopt (-3.944700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
