% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
755 +1.532691159e+02 +1.532691159e+02 +3.024191159e+02 +3.024191159e+02 -2.5938e-01 -9.4408e-01 -5.5136e-01 +1.3378e+00 -3.3502e+00 -2.1161e+00 -1.5972e+00 -1.7857e+00 -6.4534e-01 -2.8143e-01 -2.3242e+00 +1.0046e-02 +1.7734e+00 -1.2125e+00 -1.1647e+00 -5.1158e-01 +4.4384e-01 +1.0567e+00 -8.2022e-01 +9.1612e-02
1093 +9.666067181e+01 +9.666067181e+01 +2.458106718e+02 +2.458106718e+02 -3.2124e-01 -8.7967e-01 -6.1729e-01 +1.1982e+00 -3.7318e+00 -2.2291e+00 -1.7986e+00 -1.9975e+00 -9.2741e-01 -5.9210e-01 -2.6241e+00 -2.1804e-01 +1.6497e+00 -9.0421e-01 -8.8121e-01 -5.4295e-01 +3.1090e-01 +1.0644e+00 -8.3512e-01 -2.9672e-02
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.768425409e+05 +1.768425409e+05 +1.758425409e+05 +1.758425409e+05 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
2 +1.511943269e+05 +1.511943269e+05 +1.501943269e+05 +1.501943269e+05 +7.8405e-01 +8.3336e-01 +2.2275e-01 +1.0072e+00 +3.7290e-01 +8.8525e-02 +2.2903e-01 +7.3519e-01 +1.2855e+00 +1.2977e+00 -1.0148e-01 +9.9380e-01 +5.9293e-01 +1.5133e-01 +7.9823e-01 +6.0168e-01 +1.9086e-01 +1.0271e+00 +7.2453e-01 +1.2947e+00
30 +8.838479661e+04 +8.838479661e+04 +8.738479661e+04 +8.738479661e+04 +3.8607e-01 +8.4498e-01 +5.4291e-01 +6.3929e-01 -1.8553e-01 -3.7127e-02 +2.3499e-01 +5.6960e-01 +8.5777e-01 +1.3357e+00 -3.0490e-03 +3.9493e-01 +2.3305e-01 -2.1661e-01 +9.3716e-01 +5.2737e-01 +8.6003e-01 -4.3985e-02 +5.8413e-01 +1.0673e+00
51 +5.566962874e+04 +5.566962874e+04 +5.466962874e+04 +5.466962874e+04 -6.0650e-01 +1.1996e+00 -2.6240e-02 +5.6356e-01 +1.1668e-01 +1.9431e-01 -5.6426e-01 +1.0746e+00 +4.2808e-01 -2.4113e-02 +3.0947e-01 -6.1268e-01 -1.8311e-01 -3.4829e-01 +1.4805e+00 +2.5172e-01 +1.4602e+00 -3.9186e-01 -7.8985e-02 +1.1048e+00
84 +3.201632154e+04 +3.201632154e+04 +3.101632154e+04 +3.101632154e+04 -7.4746e-01 +1.8103e+00 -2.2396e-01 +1.2299e-01 -4.2609e-01 +1.1897e+00 +1.7956e-01 +9.8477e-01 +1.1317e+00 +5.6278e-01 -1.2931e-01 -4.6348e-01 +7.6634e-01 -1.4321e+00 +1.8953e+00 -5.6893e-01 +1.7407e+00 -9.3960e-01 -4.2971e-01 +1.2146e+00
109 +2.341164266e+04 +2.341164266e+04 +2.241164266e+04 +2.241164266e+04 -1.0545e+00 +1.2115e+00 -1.0528e-02 -1.6525e+00 +2.6293e-01 +1.6469e+00 -5.0377e-01 +2.0602e-01 +3.2259e-01 +1.5240e-01 +2.0459e-01 -1.6296e-01 +1.0006e-01 -2.3187e+00 +1.8026e+00 +2.0305e-01 +2.2376e+00 -1.2862e+00 -4.7566e-01 +1.9447e+00
159 +1.256267681e+04 +1.256267681e+04 +1.156267681e+04 +1.156267681e+04 -3.9159e+00 +2.0174e+00 -1.1496e+00 -2.7108e+00 -3.0929e+00 -1.0718e+00 -1.1802e+00 -2.0555e-01 -7.0761e-01 -6.0470e-01 -3.3301e-01 -1.0526e+00 -9.8405e-01 -3.0227e+00 +1.4801e+00 -1.0210e+00 +9.7192e-01 -2.3892e+00 -2.4413e+00 +1.6831e+00
