% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7 +1.243850384e+08 +1.243850384e+08 +1.243850761e+08 +1.243850761e+08 -4.7767e+00 +4.1325e+00 +5.3854e-01 -2.7950e+00 -9.7175e-01 +3.2536e+00 -2.7299e+00 -2.4713e+00 +7.0585e-02 -3.7333e-01
16 +8.202292931e+07 +8.202292931e+07 +8.202296708e+07 +8.202296708e+07 +1.3075e+00 +2.9351e+00 +5.9229e-01 -2.0370e+00 +3.9978e+00 -3.4635e-01 -5.0281e-01 -2.5527e+00 +2.4821e-01 +1.2860e+00
34 +4.144341089e+07 +4.144341089e+07 +4.144344866e+07 +4.144344866e+07 -3.3516e+00 +2.1948e+00 -3.2889e+00 -2.2128e+00 +1.9543e+00 +1.8415e+00 -2.6925e+00 +1.2163e+00 -4.7153e+00 -4.1818e+00
132 +2.937834231e+07 +2.937834231e+07 +2.937838008e+07 +2.937838008e+07 -1.5977e+00 +4.8887e+00 +6.4215e-02 -3.4911e+00 +1.1245e+00 -4.3782e+00 -1.3185e+00 +2.9345e+00 -8.2214e-01 -3.5203e+00
265 +2.124796287e+07 +2.124796287e+07 +2.124800064e+07 +2.124800064e+07 -3.8844e+00 +1.3005e+00 +2.8238e-01 -6.0781e-01 +4.5540e+00 -3.9192e+00 -1.9912e+00 +4.5393e+00 -2.9334e+00 -4.2375e+00
% function evaluation | noise-free fitness - Fopt (-1.523000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.962263462e+08 +6.962263462e+08 +6.962263310e+08 +6.962263310e+08 +1.6224e+00 +1.4076e+00 +2.6883e+00 -2.3023e+00 -4.9029e+00 -3.9533e+00 +2.3870e+00 -2.9897e+00 +3.2607e+00 -3.7940e-01
6 +3.417523594e+08 +3.417523594e+08 +3.417523442e+08 +3.417523442e+08 +4.9796e+00 +2.1070e+00 +4.4946e-01 +3.5743e+00 +4.7813e+00 +1.1081e+00 -2.3404e+00 -1.5306e+00 +3.7010e+00 -1.3968e+00
35 +1.527754931e+08 +1.527754931e+08 +1.527754778e+08 +1.527754778e+08 +1.8673e-01 +3.0514e+00 -3.7557e+00 +9.6152e-01 +2.0265e+00 -1.2721e+00 +3.6107e+00 -2.8912e+00 -5.3443e-02 -4.4909e-01
75 +8.650321795e+07 +8.650321795e+07 +8.650320272e+07 +8.650320272e+07 +1.4412e+00 +2.8795e+00 -3.4586e+00 -1.6553e+00 -4.7020e+00 +1.1636e+00 -2.2321e+00 -3.3627e+00 +4.6943e-01 +1.3315e+00
202 +3.396763496e+07 +3.396763496e+07 +3.396761973e+07 +3.396761973e+07 +6.2464e-02 +1.1554e+00 -2.0818e+00 +4.8215e+00 -4.0423e+00 -2.4611e+00 -1.3197e+00 +2.0689e+00 +2.9496e+00 -2.9050e+00
558 +1.112712368e+07 +1.112712368e+07 +1.112710845e+07 +1.112710845e+07 +4.3092e+00 +4.8901e-02 -3.8122e-02 +2.9150e+00 -4.2855e+00 -7.2707e-02 -4.5897e+00 -1.1382e+00 +2.1993e+00 -1.7324e+00
% function evaluation | noise-free fitness - Fopt (-1.614300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.995683959e+08 +7.995683959e+08 +7.995682344e+08 +7.995682344e+08 +2.2510e+00 +6.6869e-01 +1.8678e+00 +2.2384e+00 -1.9052e+00 -4.1678e+00 -4.7200e+00 -4.9390e+00 +2.8420e+00 +2.8655e+00
2 +1.250416015e+08 +1.250416015e+08 +1.250414401e+08 +1.250414401e+08 -2.6411e+00 -1.9169e+00 -1.8154e+00 +1.8065e+00 -1.2698e+00 -1.2915e+00 +1.2632e+00 -2.2265e+00 +1.7653e+00 -4.8792e+00
12 +7.701587909e+07 +7.701587909e+07 +7.701571766e+07 +7.701571766e+07 -4.0094e+00 -3.3277e+00 +4.5301e+00 -8.5917e-01 -3.6332e-01 +2.3747e+00 +1.4962e+00 +4.7706e+00 +8.9248e-01 -4.3100e+00
71 +5.597545843e+07 +5.597545843e+07 +5.597529700e+07 +5.597529700e+07 -6.6060e-01 -2.6271e+00 +3.1367e+00 -2.5226e-01 +4.5420e+00 +4.2098e+00 -3.9112e+00 -3.1137e+00 +1.9645e+00 -4.4738e+00
78 +3.664551753e+07 +3.664551753e+07 +3.664535610e+07 +3.664535610e+07 +1.1717e+00 -2.0196e+00 +3.1016e+00 +4.3296e+00 +4.5708e+00 +2.6960e+00 -4.3533e+00 +1.9832e+00 -7.3755e-01 -1.8509e+00
726 +2.345626741e+07 +2.345626741e+07 +2.345610598e+07 +2.345610598e+07 -1.3059e+00 -2.1247e+00 +7.4573e-01 +7.8112e-01 -9.4297e-02 +3.0884e+00 -3.1238e+00 -2.9778e-02 +2.4690e+00 -2.4679e+00
1830 +1.391719512e+07 +1.391719512e+07 +1.391703369e+07 +1.391703369e+07 +9.3123e-01 -2.0403e+00 +1.9566e+00 +1.6112e+00 +2.8209e+00 -6.4335e-01 -3.8954e+00 +4.3050e+00 +2.6182e+00 -2.4965e+00
% function evaluation | noise-free fitness - Fopt (3.280300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.499404502e+09 +2.499404502e+09 +2.499404830e+09 +2.499404830e+09 -4.8735e+00 -4.2794e+00 +3.4427e+00 -4.5664e+00 -2.8396e+00 -4.9040e+00 -4.8544e+00 -3.8369e+00 -1.3495e+00 -2.8504e+00
2 +1.471503374e+08 +1.471503374e+08 +1.471506654e+08 +1.471506654e+08 -4.7556e-01 -3.3892e+00 +4.4174e+00 -2.3671e+00 +4.2640e+00 +1.7803e+00 -3.9408e+00 -3.1291e+00 +2.3272e+00 -3.2729e+00
8 +7.665735311e+07 +7.665735311e+07 +7.665768114e+07 +7.665768114e+07 -1.0551e+00 +3.2052e+00 +6.3672e-01 +1.9495e-02 +4.7609e+00 -4.3204e-01 -2.7454e+00 -1.0661e+00 -4.1592e+00 -1.2956e+00
21 +5.288832074e+07 +5.288832074e+07 +5.288864877e+07 +5.288864877e+07 +2.9489e+00 +4.5476e+00 +3.1459e+00 -1.4175e-01 +2.3471e+00 +1.9641e+00 +1.2055e+00 +1.4142e+00 +1.4103e+00 -7.0322e-01
69 +2.210084293e+07 +2.210084293e+07 +2.210117096e+07 +2.210117096e+07 +2.5272e+00 +3.2659e+00 +6.6700e-01 -1.5975e+00 +3.3248e-01 -3.2452e+00 +8.5109e-02 -1.5567e+00 -4.6983e-02 -3.9223e+00
1041 +1.085517212e+07 +1.085517212e+07 +1.085550015e+07 +1.085550015e+07 +3.4932e+00 +3.9648e+00 +3.3639e+00 +7.0456e-01 +3.0582e+00 -8.4618e-01 +2.4849e+00 -3.1870e+00 -1.9246e+00 -2.9532e+00
% function evaluation | noise-free fitness - Fopt (-3.213000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.407927942e+08 +1.407927942e+08 +1.407927620e+08 +1.407927620e+08 -1.8350e-02 -1.0968e+00 +7.6987e-01 -3.5412e-01 -2.0604e+00 +1.4923e+00 -4.0847e+00 -1.3323e+00 -1.2028e+00 -3.1698e+00
6 +5.440929962e+07 +5.440929962e+07 +5.440926749e+07 +5.440926749e+07 -3.9058e+00 +9.7777e-01 +8.3012e-01 -4.3908e+00 +8.3451e-01 +1.3429e+00 -2.7562e+00 -2.7607e+00 -3.8995e+00 +1.9334e-01
162 +9.797365802e+06 +9.797365802e+06 +9.797333672e+06 +9.797333672e+06 -1.5296e+00 +1.4751e+00 +2.5621e+00 -3.8802e+00 -9.7243e-01 +3.2208e+00 -1.7901e-01 -2.8835e+00 -3.5507e+00 -3.4484e+00
% function evaluation | noise-free fitness - Fopt (1.576000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.150166986e+08 +6.150166986e+08 +6.150167144e+08 +6.150167144e+08 -4.8966e+00 +4.0805e+00 +2.9963e+00 +2.4976e+00 -1.7893e+00 -7.0213e-01 +1.1998e-01 -3.1228e+00 +5.3125e-01 -4.1536e-01
2 +2.505530434e+08 +2.505530434e+08 +2.505530592e+08 +2.505530592e+08 -2.6140e+00 -3.3196e+00 +2.5969e+00 -3.9075e+00 -3.2902e+00 +2.3855e-01 -1.8895e-01 +2.9545e+00 -8.0222e-01 +7.2756e-01
4 +1.477946043e+08 +1.477946043e+08 +1.477946201e+08 +1.477946201e+08 +7.7953e-01 -9.9175e-01 +1.1292e+00 -9.5478e-01 +1.0774e+00 -2.3695e-01 -3.5234e-01 -4.6138e+00 -1.0011e+00 -3.7287e-01
5 +9.846928231e+07 +9.846928231e+07 +9.846929807e+07 +9.846929807e+07 +3.5888e+00 +2.5296e+00 -1.0173e+00 +4.4593e+00 -1.8844e+00 +4.5799e+00 +1.4710e+00 +2.6791e+00 +1.8616e-01 +2.2012e+00
33 +6.282935901e+07 +6.282935901e+07 +6.282937477e+07 +6.282937477e+07 +2.4224e+00 +4.1224e+00 -3.3020e+00 -2.1499e+00 -3.3274e+00 -1.1407e+00 -2.5135e-01 -3.6621e+00 +3.7359e+00 -1.5759e+00
194 +2.828285532e+07 +2.828285532e+07 +2.828287108e+07 +2.828287108e+07 +4.8830e+00 +1.9608e+00 -3.2650e+00 +2.7292e+00 -3.3563e+00 -2.0970e+00 +1.4746e+00 -3.2392e+00 +4.1690e+00 -5.5387e-01
369 +2.419990167e+07 +2.419990167e+07 +2.419991743e+07 +2.419991743e+07 +2.2806e+00 -4.0959e+00 +1.4710e+00 +3.4628e+00 +8.4331e-01 +6.8339e-01 +1.9473e+00 -3.2310e+00 +2.7250e+00 +2.2117e+00
2697 +9.003461300e+06 +9.003461300e+06 +9.003477060e+06 +9.003477060e+06 +4.8611e+00 +6.0461e-01 -2.6595e+00 +4.1076e+00 -3.8474e+00 -2.9695e+00 -2.1446e+00 -1.6218e+00 +3.3378e+00 +2.7357e-01
% function evaluation | noise-free fitness - Fopt (3.735000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.461099681e+09 +1.461099681e+09 +1.461099718e+09 +1.461099718e+09 +2.2011e+00 +7.2921e-01 -7.5867e-01 +4.5399e+00 +4.6893e+00 +1.6451e+00 -3.3876e+00 -3.1618e-01 +2.4953e-01 -9.3714e-01
2 +4.053987420e+08 +4.053987420e+08 +4.053987794e+08 +4.053987794e+08 +2.4268e+00 -1.3933e+00 -2.4232e+00 +3.0763e-01 -7.6409e-01 -1.2896e+00 -1.1051e+00 -1.8581e+00 +1.1459e+00 +3.3745e+00
7 +3.319241607e+08 +3.319241607e+08 +3.319241980e+08 +3.319241980e+08 -3.2293e+00 -1.4745e+00 -2.4741e+00 +1.0704e+00 +7.3482e-01 -4.6684e+00 -8.0759e-01 -2.1476e+00 +7.5641e-01 -1.3003e+00
10 +2.077827815e+08 +2.077827815e+08 +2.077828189e+08 +2.077828189e+08 -1.2676e+00 +3.7384e+00 -5.0616e-01 -4.2762e+00 +4.8660e+00 -4.2663e+00 +2.6521e+00 +3.6101e-01 +1.1788e-01 +3.5519e+00
16 +1.457804313e+08 +1.457804313e+08 +1.457804686e+08 +1.457804686e+08 -1.4857e+00 -7.6594e-01 +4.0882e+00 -1.8066e+00 -3.3381e+00 +1.9246e+00 +3.8251e+00 -2.8482e+00 -2.3258e+00 +4.7836e+00
71 +6.346204796e+07 +6.346204796e+07 +6.346208531e+07 +6.346208531e+07 +1.9339e+00 -3.2084e+00 +4.5733e+00 -2.6555e+00 -2.4677e-01 -4.8187e+00 +6.8325e-01 -3.9428e+00 -1.0364e+00 +1.7810e+00
110 +3.396421034e+07 +3.396421034e+07 +3.396424769e+07 +3.396424769e+07 -3.1515e+00 +1.5265e+00 +1.0669e-01 +2.4393e-01 +1.6526e+00 -2.8226e+00 +3.4550e+00 -3.1509e+00 +2.2560e-01 +1.7059e+00
370 +1.694651040e+07 +1.694651040e+07 +1.694654775e+07 +1.694654775e+07 -4.4339e+00 -1.8338e-01 +1.5409e+00 -1.8179e+00 +8.0647e-01 -4.6412e+00 +8.7372e-01 -6.6969e-01 -6.3379e-01 +2.8387e+00
4104 +1.073548831e+07 +1.073548831e+07 +1.073552566e+07 +1.073552566e+07 -3.6414e+00 +1.6115e-01 +1.5706e+00 +5.8442e-01 +1.4799e+00 -3.0736e+00 +2.0018e+00 -3.9809e+00 -1.6926e+00 +3.3981e+00
% function evaluation | noise-free fitness - Fopt (-3.096300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.315513525e+08 +1.315513525e+08 +1.315510429e+08 +1.315510429e+08 -3.2579e+00 -4.9040e+00 -1.7526e+00 -1.7267e+00 +9.8891e-01 +3.5054e+00 -7.4536e-02 -2.4151e-01 +4.0814e+00 -2.2823e+00
13 +9.511866870e+07 +9.511866870e+07 +9.511835907e+07 +9.511835907e+07 -2.1573e+00 +1.2994e-01 +1.3923e+00 -3.9722e-01 -2.8478e+00 -3.8807e+00 -3.9357e+00 -4.1721e-01 -1.5718e+00 -2.8902e+00
15 +3.400463918e+07 +3.400463918e+07 +3.400432955e+07 +3.400432955e+07 -4.1590e+00 +2.0694e+00 -1.7805e-02 +2.5176e+00 -2.6270e+00 +1.3268e+00 +3.3294e+00 -3.4685e+00 +4.0055e+00 -4.4947e-01
27 +2.263174583e+07 +2.263174583e+07 +2.263143620e+07 +2.263143620e+07 -2.4016e+00 +9.8204e-01 +1.2230e+00 +1.1548e+00 -3.0949e+00 -7.0101e-01 +4.5953e-01 -1.4067e+00 -2.6465e+00 +8.0938e-01
890 +1.369200692e+07 +1.369200692e+07 +1.369169729e+07 +1.369169729e+07 -3.5593e+00 +2.8589e+00 -6.5995e-01 +6.2475e-01 -3.4058e+00 -2.2968e+00 +1.1607e+00 -4.8191e-01 -2.0559e+00 -3.7821e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.269536916e+09 +2.269536916e+09 +2.269535916e+09 +2.269535916e+09 -1.6482e+00 -2.6909e+00 +6.9593e-01 +3.3595e+00 -4.7459e+00 +4.7926e+00 -4.5258e+00 +1.1810e-01 -2.1579e+00 +2.6836e+00
2 +5.907315985e+08 +5.907315985e+08 +5.907305985e+08 +5.907305985e+08 +4.1301e+00 +2.2487e+00 +1.3469e-03 +4.5094e+00 -4.3555e+00 +6.4868e-01 -3.2460e+00 -4.7217e+00 -3.4230e+00 +3.2004e+00
3 +1.226927309e+08 +1.226927309e+08 +1.226917309e+08 +1.226917309e+08 +4.0930e+00 +4.3594e+00 -2.2276e+00 +1.9197e+00 -3.3149e+00 +4.1762e-01 +2.5195e-01 +3.1522e+00 +1.2708e+00 -4.2306e+00
12 +9.545943873e+07 +9.545943873e+07 +9.545843873e+07 +9.545843873e+07 -1.1849e+00 -1.4209e+00 -2.3114e+00 -2.2367e+00 -7.6582e-01 +3.7200e+00 -1.9099e+00 +1.1280e+00 +2.1276e+00 +7.2178e-01
102 +6.121702012e+07 +6.121702012e+07 +6.121602012e+07 +6.121602012e+07 +4.4043e+00 +1.4813e+00 -3.7209e+00 -3.0774e+00 +3.6544e+00 -1.3848e+00 +3.9269e+00 +3.1094e+00 +3.0614e-01 -1.1869e+00
282 +3.800936916e+07 +3.800936916e+07 +3.800836916e+07 +3.800836916e+07 +7.3401e-01 +1.8686e-01 +1.4415e+00 +8.0233e-01 +4.3775e+00 +2.0564e+00 +3.7294e+00 +3.9204e+00 +2.5293e+00 +4.3708e-01
1979 +2.295184267e+07 +2.295184267e+07 +2.295084267e+07 +2.295084267e+07 +2.1000e+00 +1.4854e+00 -4.0965e+00 -5.4316e-01 -4.3322e-02 +9.2789e-01 +3.9170e+00 +3.3201e+00 -3.3307e-01 +2.9167e+00
2560 +6.592920830e+06 +6.592920830e+06 +6.591920830e+06 +6.591920830e+06 +3.5329e+00 +3.9868e+00 -3.1710e+00 +8.3783e-01 +2.9842e+00 +3.8447e+00 +4.2822e-01 +3.9456e+00 +4.7716e+00 -9.8794e-02
% function evaluation | noise-free fitness - Fopt (5.800000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.115894549e+07 +6.115894549e+07 +6.115900349e+07 +6.115900349e+07 +3.9507e-01 +3.5893e+00 -1.2319e+00 -1.0354e+00 -7.9148e-01 +2.6561e+00 +2.1947e+00 -4.0723e+00 +6.9003e-01 -2.4448e+00
97 +3.210530199e+07 +3.210530199e+07 +3.210535999e+07 +3.210535999e+07 -1.4934e+00 +4.0318e+00 -3.1755e+00 +2.9174e+00 -1.6166e+00 -3.9066e-02 +4.5267e+00 -1.3428e+00 +1.8854e+00 +2.9283e+00
331 +2.266842332e+07 +2.266842332e+07 +2.266848132e+07 +2.266848132e+07 -2.7585e+00 +4.9455e+00 -3.7133e+00 +1.0052e+00 +1.2846e+00 +2.0306e+00 +1.8106e+00 +5.1656e-01 +6.2669e-01 -5.3042e-01
% function evaluation | noise-free fitness - Fopt (9.438000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.144187756e+09 +5.144187756e+09 +5.144187850e+09 +5.144187850e+09 +7.5959e-01 -4.5564e+00 -9.2597e-01 -1.5774e+00 +1.5000e+00 -4.1212e+00 -1.4437e+00 -3.2161e+00 +1.2037e+00 -1.5429e+00
2 +6.549091373e+08 +6.549091373e+08 +6.549092317e+08 +6.549092317e+08 -4.2259e+00 -7.7154e-01 -1.1231e+00 -4.6055e+00 +3.7799e-01 +1.6671e+00 -9.9942e-01 -8.3934e-01 -1.1817e-01 +2.3117e+00
3 +4.414357303e+08 +4.414357303e+08 +4.414358247e+08 +4.414358247e+08 -1.5227e+00 -1.1173e+00 -2.5718e+00 -1.4038e-01 +2.3711e+00 -3.0047e+00 -2.1919e+00 +3.5446e+00 -1.1721e+00 +3.5808e+00
4 +7.728032825e+07 +7.728032825e+07 +7.728042263e+07 +7.728042263e+07 -1.0948e+00 +4.9840e+00 +1.7637e+00 +3.4503e+00 -3.3290e+00 -3.4726e+00 +2.4449e+00 -2.4189e+00 -4.3768e+00 -4.1806e-01
678 +4.852176408e+07 +4.852176408e+07 +4.852185846e+07 +4.852185846e+07 +1.3007e+00 +4.5680e+00 -3.2713e+00 +4.3008e+00 -4.8574e+00 -2.9436e-01 +3.7138e+00 -5.0074e-01 -3.6661e+00 -1.3408e+00
2233 +3.295499788e+07 +3.295499788e+07 +3.295509226e+07 +3.295509226e+07 -3.2019e+00 +2.7140e+00 -4.2357e+00 +3.9017e+00 -3.9307e+00 -1.4816e+00 +2.1191e+00 +2.6311e+00 -2.0104e+00 +2.3747e+00
4392 +2.400546812e+07 +2.400546812e+07 +2.400556250e+07 +2.400556250e+07 -1.3997e+00 +1.9129e+00 -4.1041e+00 +7.7749e-01 -3.0404e+00 -8.2256e-01 +2.0216e+00 -4.0794e+00 -3.4373e+00 +2.3957e+00
