% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.810591855e+01 +7.810591855e+01 +1.188859186e+02 +1.188859186e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
76 +6.120357330e+01 +6.120357330e+01 +1.019835733e+02 +1.019835733e+02 -7.8228e-01 -3.5860e-01 +9.2967e-01 +8.3517e-01 +5.2674e-01 +9.0407e-01 -8.3479e-01 +2.1743e+00 +2.8164e+00 +1.3845e+00 -3.8854e-01 +4.6905e-01 -3.2390e-02 +1.2722e+00 +1.3062e+00 +2.5930e-01 +8.2761e-01 +8.2878e-01 +1.7492e+00 +9.9792e-01
159 +3.633224725e+01 +3.633224725e+01 +7.711224725e+01 +7.711224725e+01 -4.1260e-01 -5.0129e-01 +3.2037e+00 +9.4816e-01 -1.1125e-02 +2.1203e+00 -1.1781e+00 +3.1999e+00 +3.0011e+00 +6.1999e-01 -6.2913e-01 +4.0010e-01 -1.5522e+00 +2.3160e+00 +1.8576e+00 -1.3061e+00 +2.2534e+00 +2.5652e+00 +1.2323e+00 +1.3540e+00
291 +2.272168462e+01 +2.272168462e+01 +6.350168462e+01 +6.350168462e+01 -2.2518e-01 -2.7256e+00 +3.9484e+00 -9.7271e-01 +1.3988e+00 +2.9271e+00 -1.3127e+00 +1.9694e+00 +2.8527e+00 -1.2981e+00 -4.4943e-01 +2.0094e+00 -2.9596e+00 +2.2392e+00 +1.8701e+00 -9.2835e-01 +2.5340e+00 +4.0319e+00 +1.0510e+00 +1.6521e-01
515 +1.494294608e+01 +1.494294608e+01 +5.572294608e+01 +5.572294608e+01 -2.5296e-01 -2.0335e+00 +4.5692e+00 -7.4142e-01 +2.0458e+00 +2.3863e+00 -1.4438e+00 +2.2239e+00 +3.3187e+00 -7.8212e-02 -9.6764e-01 +5.1696e-01 -2.9199e+00 +1.4906e+00 +2.5505e+00 +9.9443e-01 +1.5677e+00 +2.6714e+00 +2.0504e+00 -5.9288e-02
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.142616096e+01 +8.142616096e+01 +7.982616096e+01 +7.982616096e+01 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
221 +6.141542945e+01 +6.141542945e+01 +5.981542945e+01 +5.981542945e+01 +6.5642e-01 +2.7068e+00 +1.9537e-01 +2.7827e+00 +4.0623e-01 -2.3512e+00 -1.9531e+00 -9.0369e-01 +1.9597e+00 -6.2957e-01 -4.4093e-01 -8.3577e-01 +3.8417e-01 +9.8069e-01 +1.8186e+00 +1.1341e+00 -6.5918e-01 +1.8502e+00 -1.1520e+00 +2.9808e+00
742 +3.878329360e+01 +3.878329360e+01 +3.718329360e+01 +3.718329360e+01 +6.6010e-01 +2.2297e+00 +3.0604e+00 +1.3271e+00 +3.2755e+00 -3.8041e+00 +6.5945e-01 -2.5577e+00 +3.0021e+00 -1.8279e+00 +1.3519e+00 -1.0344e+00 +2.7342e+00 +1.8388e+00 +2.9022e+00 +2.2364e+00 +1.4188e+00 +7.0599e-01 -1.7320e-01 +5.3224e+00
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.785753940e+01 +7.785753940e+01 -2.929824606e+02 -2.929824606e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
109 +6.162091019e+01 +6.162091019e+01 -3.092190898e+02 -3.092190898e+02 +1.4064e+00 +1.9042e+00 -7.9244e-01 +2.1454e+00 -3.0277e-01 +1.2839e+00 +1.2953e+00 +7.2578e-01 +2.5678e+00 +1.0942e+00 +4.6615e-01 +3.2984e+00 +3.0875e+00 +1.4266e+00 +8.9768e-01 +7.5700e-01 +9.4617e-01 +2.2541e+00 -2.7840e-01 +7.3914e-01
179 +3.917757485e+01 +3.917757485e+01 -3.316624251e+02 -3.316624251e+02 +3.0397e+00 +4.1802e+00 -9.1708e-01 +1.8210e+00 -1.0358e+00 +2.2076e+00 +2.6224e+00 +7.8239e-01 +2.0508e+00 +1.2337e+00 +4.8630e-01 +3.7508e+00 +2.6805e+00 +1.9707e+00 +1.0781e+00 -8.1077e-01 +2.6807e+00 +2.2908e+00 -7.9820e-01 +1.0529e+00
290 +2.354028364e+01 +2.354028364e+01 -3.472997164e+02 -3.472997164e+02 +3.1753e+00 +4.9167e+00 +1.0998e-01 +2.6310e+00 -1.6201e+00 +1.2620e-01 +3.2883e+00 +1.8090e+00 +3.1741e+00 +1.9037e+00 +6.3513e-02 +5.3477e+00 +3.3330e+00 +8.1905e-01 +7.8061e-01 -1.8004e+00 +3.2661e+00 +3.8790e+00 -1.9653e+00 -5.3883e-01
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.995500171e+01 +7.995500171e+01 +4.739500171e+01 +4.739500171e+01 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
269 +6.226838627e+01 +6.226838627e+01 +2.970838627e+01 +2.970838627e+01 -1.7160e+00 -2.0699e+00 -3.8034e-01 +1.0855e+00 +2.8978e+00 +2.4127e+00 +3.2241e+00 +1.2551e+00 +1.9415e+00 -1.9640e+00 -9.8206e-01 +1.1027e+00 +1.8841e+00 +9.0251e-01 +2.8840e+00 +3.2086e+00 +1.2054e+00 +9.1530e-01 +2.7536e+00 +6.5868e-02
% function evaluation | noise-free fitness - Fopt (5.154000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.610155624e+01 +7.610155624e+01 +5.915015562e+02 +5.915015562e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
110 +5.805451055e+01 +5.805451055e+01 +5.734545105e+02 +5.734545105e+02 -6.0931e-01 +1.0893e+00 +1.6021e+00 +2.1500e+00 +1.2035e+00 +2.0575e+00 -1.6375e+00 -1.1494e+00 +9.9046e-01 +6.4353e-01 +3.1651e-01 -1.1919e-01 -5.2978e-01 -7.5676e-01 +1.0756e+00 -7.0381e-02 +1.1922e+00 -6.6898e-01 +2.1645e+00 +1.4006e+00
137 +3.497026353e+01 +3.497026353e+01 +5.503702635e+02 +5.503702635e+02 +7.6425e-02 +2.1506e+00 +2.4079e+00 +2.4521e+00 +2.2056e+00 +2.6128e+00 -1.6749e+00 -1.4059e-01 +1.6795e+00 -6.2334e-02 +3.2670e-01 -3.1042e-01 -3.1910e-01 -2.1791e+00 +1.6280e+00 -1.3564e-01 +6.9715e-01 -1.2188e+00 +2.8313e+00 +9.4202e-01
210 +1.934825336e+01 +1.934825336e+01 +5.347482534e+02 +5.347482534e+02 -4.7119e-01 +3.1301e+00 +3.1184e+00 +2.2310e+00 +3.8984e+00 +4.0855e+00 -3.4339e+00 -5.0314e-01 +1.4344e+00 +1.2030e-01 -1.2487e+00 +1.2501e-01 -8.3382e-01 -1.8625e+00 -3.1374e-01 +3.9403e-01 -1.0829e+00 +1.0409e+00 +4.5320e+00 +2.6948e+00
320 +1.377094953e+01 +1.377094953e+01 +5.291709495e+02 +5.291709495e+02 -1.4756e+00 +2.0861e+00 +1.4000e+00 +3.4972e+00 +4.5351e+00 +3.8627e+00 -1.4474e+00 -6.0320e-01 +6.5246e-01 +8.0295e-01 +4.2770e-02 -1.0349e-01 -8.8621e-02 -3.1762e+00 +1.6253e-02 +5.9973e-01 +5.6627e-01 -1.1521e+00 +3.1280e+00 +2.2529e+00
354 +9.836234187e+00 +9.836234187e+00 +5.252362342e+02 +5.252362342e+02 -8.2783e-01 +3.5755e+00 +1.5363e+00 +3.3612e+00 +5.6238e+00 +3.6805e+00 -2.8427e+00 -1.4298e+00 +1.1123e+00 +1.9448e-02 -3.2770e-03 -7.7432e-01 +5.4620e-01 -3.6923e+00 -1.8582e-01 -2.7860e-01 +8.3612e-02 -3.4972e-01 +4.1237e+00 +2.6090e+00
437 +5.076603322e+00 +5.076603322e+00 +5.204766033e+02 +5.204766033e+02 -5.5584e-01 +3.5740e+00 +2.9707e+00 +3.2557e+00 +5.1204e+00 +4.0122e+00 -2.8166e+00 -1.0954e+00 +1.1720e+00 -7.3904e-01 -1.1755e+00 -4.1272e-01 +2.3085e-01 -2.9983e+00 -1.4694e-01 -4.7542e-01 +3.1930e-01 -3.4769e-01 +3.7122e+00 +3.2191e+00
513 +3.805266403e+00 +3.805266403e+00 +5.192052664e+02 +5.192052664e+02 -5.4369e-01 +3.9838e+00 +2.8767e+00 +2.9602e+00 +4.3146e+00 +4.1025e+00 -1.6637e+00 -9.6554e-01 +5.6806e-01 -5.2577e-01 -1.4730e+00 -1.0223e+00 -3.0200e-01 -3.0373e+00 -2.8741e-01 -1.2491e-01 +1.7384e-01 -6.2226e-01 +3.6987e+00 +2.9409e+00
537 +2.463666121e+00 +2.463666121e+00 +5.178636661e+02 +5.178636661e+02 -3.1272e-01 +3.8088e+00 +3.5790e+00 +3.7414e+00 +4.5043e+00 +4.2502e+00 -2.6237e+00 -1.1622e+00 +9.0049e-01 -8.7196e-01 -1.2518e+00 -1.3228e+00 -1.8245e-01 -2.9825e+00 -8.2162e-01 -3.3626e-01 +7.6304e-01 -2.4501e-02 +3.4319e+00 +2.6395e+00
% function evaluation | noise-free fitness - Fopt (9.862300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
