% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.021331085e+06 +1.021331085e+06 +1.021366985e+06 +1.021366985e+06 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
2 +9.522448247e+05 +9.522448247e+05 +9.522807247e+05 +9.522807247e+05 +7.8405e-01 +8.3336e-01 +2.2275e-01 +1.0072e+00 +3.7290e-01 +8.8525e-02 +2.2903e-01 +7.3519e-01 +1.2855e+00 +1.2977e+00 -1.0148e-01 +9.9380e-01 +5.9293e-01 +1.5133e-01 +7.9823e-01 +6.0168e-01 +1.9086e-01 +1.0271e+00 +7.2453e-01 +1.2947e+00
37 +6.119147377e+05 +6.119147377e+05 +6.119506377e+05 +6.119506377e+05 +2.0361e+00 +9.1901e-01 +5.6059e-01 +1.3717e+00 +5.1836e-01 -4.1133e-02 +3.1306e-01 +7.0679e-02 +4.4410e-01 +6.3941e-01 +3.8648e-01 +7.1536e-01 +7.0919e-01 +9.0330e-01 +1.4595e+00 +8.6983e-02 +4.6271e-02 +1.7180e+00 +9.7089e-01 +2.7092e-01
110 +3.825030224e+05 +3.825030224e+05 +3.825389224e+05 +3.825389224e+05 +2.0559e+00 +1.8323e+00 +3.6521e-01 +8.1684e-01 +1.7109e-01 -3.4301e-01 -5.1142e-02 -7.8014e-01 -1.0632e+00 +1.0473e+00 -2.1267e-01 +1.6439e+00 +1.5057e+00 +5.1877e-01 +2.8805e+00 -1.5684e+00 -8.2836e-01 +2.6356e+00 +1.2412e+00 -4.2850e-03
158 +1.974644689e+05 +1.974644689e+05 +1.975003689e+05 +1.975003689e+05 +2.8681e+00 +2.7422e+00 -1.6343e-01 +1.5611e+00 -1.5533e-01 -1.3602e+00 +7.1886e-03 -1.4894e+00 -1.5159e+00 +8.6525e-01 -2.9766e-01 +6.4023e-01 +9.9421e-01 +4.2046e-01 +2.9848e+00 -2.4728e+00 +3.2156e-01 +4.7710e+00 +1.0506e-02 -4.7328e-02
186 +1.526907211e+05 +1.526907211e+05 +1.527266211e+05 +1.527266211e+05 +1.9113e+00 +1.7993e+00 +7.0264e-01 +1.0042e+00 -4.2014e-01 -3.2435e+00 +5.4410e-01 -2.1628e+00 -1.5436e+00 +9.1423e-02 -7.7881e-01 -7.5610e-01 +1.4822e+00 -2.1633e-01 +3.0348e+00 -1.5075e+00 -8.5002e-01 +4.2499e+00 -6.7401e-01 -1.5106e+00
219 +9.938213956e+04 +9.938213956e+04 +9.941803956e+04 +9.941803956e+04 +1.5309e+00 +3.4520e+00 +1.2446e+00 +1.5446e+00 -2.0731e+00 -2.5554e+00 +1.5191e+00 -2.4858e+00 -1.5433e+00 -7.9984e-01 -7.6118e-01 +1.4316e-01 +1.3489e+00 +2.9316e-01 +2.7470e+00 -3.3300e+00 +5.2791e-01 +5.7927e+00 +9.8983e-01 -1.4046e+00
229 +6.270350775e+04 +6.270350775e+04 +6.273940775e+04 +6.273940775e+04 +3.9878e+00 +1.1615e+00 +1.5756e+00 +2.6881e+00 -2.3022e+00 -3.1453e+00 +1.4066e+00 -3.2529e+00 -7.6494e-01 -1.1390e+00 -1.5451e+00 -5.3486e-01 -3.3973e-01 -1.2380e+00 +2.7061e+00 -3.1938e+00 -5.2223e-01 +6.2721e+00 +4.0797e-01 -2.2436e+00
265 +3.774000714e+04 +3.774000714e+04 +3.777590714e+04 +3.777590714e+04 +4.5617e+00 +6.9784e-01 +2.0547e+00 +1.6893e+00 -2.9851e+00 -3.9847e+00 +2.6085e+00 -3.9646e+00 -1.0399e+00 -2.9569e+00 -2.6281e+00 -4.8383e-01 +6.3796e-01 -3.2327e-01 +1.0075e-01 -3.2198e+00 +1.1063e+00 +6.6193e+00 -2.2261e+00 -3.0424e+00
299 +2.097879545e+04 +2.097879545e+04 +2.101469545e+04 +2.101469545e+04 +3.6647e+00 +7.5834e-01 +2.3419e+00 +3.2352e+00 -2.5906e-01 -3.7523e+00 +6.8092e-01 -2.2675e+00 +1.8796e+00 -4.3064e+00 -4.5544e+00 -6.0228e-01 -8.2102e-01 +9.3902e-01 +1.8116e+00 -5.5175e+00 -6.1626e-01 +7.7890e+00 +5.3960e-01 -3.3671e+00
315 +1.580549522e+04 +1.580549522e+04 +1.584139522e+04 +1.584139522e+04 +4.0657e+00 +8.9852e-01 +4.0068e+00 +3.4369e+00 -1.4599e+00 -5.4375e+00 -3.8503e-01 -2.9080e+00 +1.0366e+00 -5.6280e+00 -5.6730e+00 -2.3526e+00 +3.7607e-01 -7.8367e-01 +3.4885e+00 -4.5271e+00 +1.7390e+00 +9.2671e+00 +2.5328e+00 -4.0436e+00
343 +2.178182554e+02 +2.178182554e+02 +2.537182554e+02 +2.537182554e+02 +2.9065e+00 +4.2869e+00 +4.8347e+00 +4.6748e+00 -2.8048e+00 -4.8880e+00 +1.3334e+00 -4.6978e+00 +1.4534e+00 -5.2643e+00 -4.6270e+00 -2.1675e+00 -1.0599e+00 -1.8020e+00 +2.0774e+00 -5.9453e+00 +3.5972e+00 +9.2381e+00 +4.8854e-01 -2.5960e+00
710 +1.442339559e+02 +1.442339559e+02 +1.801339559e+02 +1.801339559e+02 +8.0297e-01 +2.8729e+00 +5.3715e+00 +4.0478e+00 -1.8644e+00 -5.9157e+00 -1.9764e+00 -2.9791e+00 +6.9593e-01 -6.9319e+00 -1.4275e+00 -3.5225e+00 -9.3131e-01 -1.7545e+00 +1.8927e+00 -4.8435e+00 +9.6447e-01 +9.1023e+00 -1.9195e+00 -5.6119e+00
941 +9.994375208e+01 +9.994375208e+01 +1.358437521e+02 +1.358437521e+02 +1.4276e+00 +2.5882e+00 +5.6820e+00 +4.1959e+00 -1.9366e+00 -3.5769e+00 -2.8644e+00 -2.6475e+00 +3.2255e-01 -5.2213e+00 -2.5421e+00 -2.5084e+00 +1.4547e-01 -1.7791e+00 +1.5842e+00 -5.0229e+00 -4.9037e-01 +7.2526e+00 -9.2276e-01 -4.7367e+00
1043 +6.051289060e+01 +6.051289060e+01 +9.641289060e+01 +9.641289060e+01 +1.8329e+00 +1.9420e+00 +4.5611e+00 +4.1165e+00 -2.4814e+00 -4.6922e+00 -2.1375e+00 -1.8662e+00 -1.0082e+00 -4.8262e+00 -3.0885e+00 -1.6323e+00 +5.6754e-01 -2.4478e+00 +1.4583e+00 -4.3146e+00 +4.1848e-01 +6.3335e+00 -1.2273e+00 -4.1565e+00
1335 +3.918660112e+01 +3.918660112e+01 +7.508660112e+01 +7.508660112e+01 +1.5482e+00 +2.3613e+00 +4.2035e+00 +4.3850e+00 -2.4682e+00 -4.0910e+00 -2.1549e+00 -2.2166e+00 -1.2602e+00 -4.1750e+00 -3.0504e+00 -8.0942e-01 -1.1601e+00 -1.8941e+00 +1.3571e+00 -4.8515e+00 +1.2674e+00 +4.8882e+00 -1.5632e+00 -3.7232e+00
