% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.429776570e+02 +3.429776570e+02 +4.455876570e+02 +4.455876570e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
19 +2.510672642e+02 +2.510672642e+02 +3.536772642e+02 +3.536772642e+02 +4.5880e-01 +4.7030e-01 -6.0166e-02 +7.1341e-01 +4.1186e-01 -4.4951e-01 +2.4833e-02 +3.9059e-01 +9.0780e-01 +1.3317e+00 -2.5386e-02 +9.5760e-01 +9.7549e-01 +3.8841e-01 +6.6288e-01 +4.3859e-01 +9.2263e-01 -8.8652e-02 +1.1714e+00 +1.0375e+00
1276 +1.565874740e+02 +1.565874740e+02 +2.591974740e+02 +2.591974740e+02 -7.0774e-01 +4.1448e-03 +1.1817e+00 -2.4146e-01 +4.0736e-01 +3.5982e-01 +5.6433e-02 -5.0091e-01 +1.3025e+00 -6.3791e-01 +1.6635e+00 +9.2605e-01 +1.6634e+00 +4.2331e-01 +2.4081e-01 +1.4925e+00 +9.0347e-01 +2.8794e-01 -4.1585e-02 -4.2673e-01
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.259887630e+02 +3.259887630e+02 +4.192887630e+02 +4.192887630e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
8 +2.500453745e+02 +2.500453745e+02 +3.433453745e+02 +3.433453745e+02 +7.2660e-01 +6.5141e-01 -2.0905e-01 +1.6712e+00 +1.1290e+00 +1.8980e-01 -9.8637e-02 +2.8724e-01 +9.0455e-01 +1.2023e+00 -2.4199e-01 +2.7163e-01 +5.2244e-01 +5.8543e-01 +9.1769e-01 +2.7739e-01 +3.8268e-01 +9.7084e-01 +6.4936e-01 +1.2181e+00
1353 +1.526903251e+02 +1.526903251e+02 +2.459903251e+02 +2.459903251e+02 +8.8967e-02 +7.1423e-01 +1.2045e+00 +1.0388e+00 +1.3055e+00 -6.7989e-01 +1.8730e+00 -1.1987e+00 +1.1460e+00 +1.2653e+00 -1.9500e+00 +4.7455e-02 -1.0395e+00 -1.3396e-01 -6.4808e-02 +1.3572e+00 +2.7563e-02 -5.0768e-01 +1.6999e-01 -2.8026e-01
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.332042386e+02 +3.332042386e+02 +3.468442386e+02 +3.468442386e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
143 +2.463300258e+02 +2.463300258e+02 +2.599700258e+02 +2.599700258e+02 +1.1050e+00 +1.7505e+00 -2.9885e-01 +1.0554e+00 +8.9254e-01 +1.0579e+00 -6.9448e-02 +8.7521e-01 +5.4319e-01 +9.3142e-01 +4.4246e-01 +1.9317e-01 +7.6022e-01 +2.1313e-01 +7.4921e-01 -1.5715e-01 -6.5719e-01 +5.3514e-01 +9.3161e-01 +6.4380e-01
1428 +1.452353762e+02 +1.452353762e+02 +1.588753762e+02 +1.588753762e+02 +6.4126e-02 +2.1396e+00 +1.3597e+00 +1.2194e+00 +4.8730e-01 -1.2042e+00 -3.9552e-01 -5.4409e-02 +6.3437e-01 -6.2851e-01 -4.4805e-01 +1.1982e+00 +1.3220e+00 -1.0103e+00 +1.6597e+00 -1.4142e+00 -9.6787e-01 -4.1299e-01 +1.0413e+00 +1.5576e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.287822285e+02 +3.287822285e+02 +5.235822285e+02 +5.235822285e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
228 +2.477120902e+02 +2.477120902e+02 +4.425120902e+02 +4.425120902e+02 +7.5590e-02 +7.8042e-02 -7.9742e-02 +9.1439e-01 +1.0597e+00 -1.1799e-01 +7.8273e-02 +8.1835e-01 +8.2538e-02 +5.1842e-01 -4.8302e-01 +8.4215e-01 +1.2946e+00 -3.1077e-01 +1.2724e+00 -2.2890e-01 -4.0680e-01 -9.5510e-01 +1.6377e+00 +1.7978e+00
3918 +1.547898001e+02 +1.547898001e+02 +3.495898001e+02 +3.495898001e+02 -6.7200e-01 +8.0972e-01 +9.1702e-01 -1.1402e+00 +1.1190e+00 -2.0479e+00 -4.2228e-02 +1.3359e+00 +1.9191e-01 -1.4079e+00 -1.3572e+00 +7.3494e-01 +2.3254e+00 -1.8500e+00 -5.2381e-01 +1.4114e-02 -1.3540e+00 -1.4393e+00 +1.6401e+00 +1.6546e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.787953647e+02 +2.787953647e+02 +1.452053647e+02 +1.452053647e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
36 +2.304153917e+02 +2.304153917e+02 +9.682539170e+01 +9.682539170e+01 +3.6623e-01 +1.2085e+00 +3.1687e-01 +6.9613e-01 +3.6494e-02 +3.6160e-01 +1.7675e-01 +5.4906e-01 +3.2393e-01 +8.8294e-01 -4.3186e-02 +4.8706e-01 -1.9601e-01 -6.6069e-02 +4.8187e-01 +3.1253e-01 +3.2554e-01 +8.3244e-01 +7.3409e-01 +6.2120e-01
1565 +1.582693334e+02 +1.582693334e+02 +2.467933344e+01 +2.467933344e+01 +1.1032e+00 +1.4653e+00 -1.0006e+00 -1.3167e-01 -5.0898e-01 -4.2639e-02 +7.3685e-01 +4.8997e-01 +1.3680e+00 +1.3241e+00 -1.5768e+00 +1.5181e+00 -1.1979e+00 -7.2710e-01 +2.0455e+00 -8.2552e-01 +9.5402e-01 -2.8647e-03 +1.0505e+00 +9.1235e-01
% function evaluation | noise-free fitness - Fopt (1.543700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.781124310e+02 +3.781124310e+02 +5.324824310e+02 +5.324824310e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
7 +2.503460869e+02 +2.503460869e+02 +4.047160869e+02 +4.047160869e+02 +8.2159e-01 +8.2719e-01 -3.9808e-01 +8.2768e-01 +3.8295e-01 -1.9622e-01 -6.8422e-02 +3.8681e-01 +3.5672e-01 +1.2542e+00 +3.1363e-01 +9.6458e-01 +9.4674e-01 +2.4593e-01 +1.1059e+00 +1.0192e-01 +2.0740e-01 +1.3212e+00 +7.2478e-01 +7.8278e-01
1095 +1.563755120e+02 +1.563755120e+02 +3.107455120e+02 +3.107455120e+02 +9.1400e-01 +1.3600e+00 -4.3607e-01 -5.2847e-02 +6.9410e-01 +1.9921e+00 +6.2405e-01 -9.3746e-01 -3.1654e-01 +6.7388e-01 -7.8472e-02 +3.4210e-01 +9.5413e-01 +1.0859e+00 +4.8395e-01 +4.0493e-01 +6.5250e-01 -8.8410e-01 -4.2104e-01 +7.1049e-01
% function evaluation | noise-free fitness - Fopt (-2.883300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.932596529e+02 +2.932596529e+02 +4.929652853e+00 +4.929652853e+00 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
46 +2.400942113e+02 +2.400942113e+02 -4.823578873e+01 -4.823578873e+01 +9.3504e-01 +1.1110e+00 +3.6135e-01 +1.5705e+00 +3.7272e-01 -1.8667e-02 +5.0257e-01 +8.0169e-01 +5.4299e-01 +5.5675e-01 -2.1384e-01 +1.0814e+00 +5.8883e-01 +5.9148e-01 +1.0087e+00 +8.0617e-01 -4.0539e-01 +4.8495e-02 +8.5971e-01 +3.9146e-01
1877 +1.478765647e+02 +1.478765647e+02 -1.404534353e+02 -1.404534353e+02 +1.2479e+00 +4.2540e-01 -7.0589e-01 +2.3888e+00 -1.1945e-01 +9.0963e-01 +1.3042e+00 +1.2504e+00 +1.0443e+00 -7.6960e-02 +8.2459e-01 -4.5435e-02 -1.1533e+00 +4.4759e-01 +2.0774e+00 +1.9105e+00 -1.1669e+00 -7.1324e-01 +1.8694e-01 -2.6467e-01
% function evaluation | noise-free fitness - Fopt (-5.381100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.394779500e+02 +3.394779500e+02 -1.986320500e+02 -1.986320500e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
121 +2.213683190e+02 +2.213683190e+02 -3.167416810e+02 -3.167416810e+02 +1.1677e+00 +8.1347e-01 +1.6878e-01 +1.3481e+00 +3.6905e-01 +9.1022e-01 -3.4569e-01 +8.7253e-02 +1.1594e+00 +6.6662e-01 -9.8226e-02 +1.2982e+00 +1.4554e+00 +8.0539e-01 +4.7583e-01 +4.6287e-01 -1.7111e-01 +1.1482e+00 +8.3782e-01 +5.1548e-01
2753 +1.551887133e+02 +1.551887133e+02 -3.829212867e+02 -3.829212867e+02 +1.4181e+00 +1.5864e+00 +8.5442e-01 +1.2776e+00 -4.3506e-02 +1.0216e+00 -1.3151e+00 -1.7709e+00 -5.0534e-01 +3.3301e-01 +1.4352e+00 +1.0364e+00 +2.6821e+00 +3.8299e-01 -1.1684e+00 +1.3029e+00 -1.2248e+00 +1.1874e+00 -6.3672e-01 -1.0749e+00
% function evaluation | noise-free fitness - Fopt (7.478200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.951335993e+02 +2.951335993e+02 +1.042953599e+03 +1.042953599e+03 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
61 +2.453648068e+02 +2.453648068e+02 +9.931848068e+02 +9.931848068e+02 +6.9836e-01 +1.3632e+00 +1.7371e-01 +1.1716e+00 +4.4347e-01 +9.3725e-02 -2.2516e-02 +9.2653e-01 +1.2639e+00 +8.4040e-01 +1.2958e-01 +4.1678e-01 +9.0584e-01 +7.9498e-01 -2.2533e-02 +5.0145e-01 +9.8439e-01 +9.6926e-01 +1.3112e+00 +6.6299e-01
1635 +1.463619841e+02 +1.463619841e+02 +8.941819841e+02 +8.941819841e+02 +1.2782e+00 +1.3127e+00 +1.3689e+00 +2.1246e+00 -1.4428e-01 -4.9362e-01 -7.2737e-01 -1.6665e-01 +1.5741e+00 -1.2632e+00 +1.7289e+00 -1.0170e+00 -1.9416e-01 +1.0293e+00 -1.2635e+00 +1.9507e+00 +9.1349e-01 +1.1615e+00 +2.9344e+00 +1.3846e+00
% function evaluation | noise-free fitness - Fopt (1.667000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.334112615e+02 +3.334112615e+02 +3.500812615e+02 +3.500812615e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
92 +2.476389507e+02 +2.476389507e+02 +2.643089507e+02 +2.643089507e+02 -1.7900e-01 +1.1855e+00 +7.3882e-01 +6.0646e-01 +5.7983e-01 -8.9347e-01 +4.3154e-01 +1.2865e+00 +1.2543e+00 +7.9382e-01 +5.0333e-02 +3.7725e-01 +2.5848e-01 +2.8810e-01 +9.0649e-01 +2.0726e-01 +3.7571e-01 -2.2817e-02 +7.7753e-01 +8.7868e-01
1167 +1.473625454e+02 +1.473625454e+02 +1.640325454e+02 +1.640325454e+02 -1.0983e+00 +1.5682e+00 +1.3536e+00 -5.0964e-01 +6.0089e-01 -8.4853e-01 +4.0308e-02 -6.7685e-01 +7.4922e-02 +9.7748e-01 +8.4294e-01 +8.8603e-01 -2.2682e-01 +1.6806e-01 +4.3945e-01 +4.5051e-01 -1.2436e+00 -1.0825e+00 +1.1290e+00 -7.4416e-02
% function evaluation | noise-free fitness - Fopt (-6.277000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.283140587e+02 +3.283140587e+02 +2.655440587e+02 +2.655440587e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
229 +2.443442679e+02 +2.443442679e+02 +1.815742679e+02 +1.815742679e+02 +1.2192e+00 +1.2092e+00 +8.3718e-01 +5.9831e-01 +6.0764e-01 +1.4164e-01 +4.5819e-01 +9.5560e-01 +5.9794e-01 +4.2880e-01 -4.7866e-01 +5.8243e-01 +1.7847e-01 +7.7415e-01 +6.6970e-01 -2.1767e-01 +9.8172e-01 +1.0825e+00 -1.5785e-01 +9.8603e-01
2854 +1.565879374e+02 +1.565879374e+02 +9.381793735e+01 +9.381793735e+01 +1.6717e+00 +6.5466e-01 +6.1021e-01 +3.7160e-01 +3.2239e-01 -1.5157e-01 -1.0390e+00 +8.8287e-01 +8.1905e-01 +1.0102e+00 +7.3060e-01 -6.1628e-01 -1.3961e+00 -1.6049e+00 -2.5990e-01 +6.1349e-01 -1.6098e-01 -1.8286e-01 +6.4801e-02 +9.6936e-01
4472 +9.533017975e+01 +9.533017975e+01 +3.256017975e+01 +3.256017975e+01 +1.6023e+00 +8.2945e-01 +7.3476e-01 +6.4218e-01 +4.4879e-01 -9.5233e-02 -7.9332e-01 +7.4943e-01 +2.4246e-01 +1.1563e+00 +9.7197e-01 -5.9898e-01 -1.9305e+00 -2.2531e+00 -2.1716e-02 +5.7367e-01 +3.0466e-01 +5.5106e-02 -2.5423e-02 +1.3834e+00
% function evaluation | noise-free fitness - Fopt (1.096000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.342879781e+02 +3.342879781e+02 +3.452479781e+02 +3.452479781e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
