% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
197 +5.176514488e+03 +5.176514488e+03 +4.684984488e+03 +4.684984488e+03 +4.7009e-01 -2.0368e+00 -3.4320e+00 +1.2178e+00 +1.8678e+00
1139 +3.070109367e+03 +3.070109367e+03 +2.578579367e+03 +2.578579367e+03 +8.9238e-01 +1.4010e+00 -2.8220e+00 +1.6813e+00 -6.4558e-01
1418 +1.784855768e+03 +1.784855768e+03 +1.293325768e+03 +1.293325768e+03 +1.5338e+00 +3.2831e+00 -5.6002e-01 +2.6179e+00 +1.8431e-01
1748 +8.900502181e+02 +8.900502181e+02 +3.985202181e+02 +3.985202181e+02 +1.4335e+00 +1.8554e+00 -9.3641e-01 +2.7380e+00 +1.0377e+00
2032 +5.600375044e+02 +5.600375044e+02 +6.850750441e+01 +6.850750441e+01 +8.9561e-01 +1.3174e+00 -1.2845e+00 +1.3757e+00 +3.1942e-01
2741 +3.763994569e+02 +3.763994569e+02 -1.151305431e+02 -1.151305431e+02 +1.9867e-01 -1.1588e+00 -3.2190e+00 +2.7929e-01 +3.8291e-01
2746 +1.743601753e+02 +1.743601753e+02 -3.171698247e+02 -3.171698247e+02 +1.0390e+00 +2.1417e+00 -9.8687e-01 +1.6681e+00 -7.1766e-02
3161 +1.479167068e+02 +1.479167068e+02 -3.436132932e+02 -3.436132932e+02 +1.0710e+00 +1.3995e+00 -1.1599e+00 +2.0433e+00 +6.0153e-01
4042 +7.020248208e+01 +7.020248208e+01 -4.213275179e+02 -4.213275179e+02 +9.6832e-01 +1.5442e+00 -1.0490e+00 +1.6124e+00 +3.0033e-01
4202 +5.086587887e+01 +5.086587887e+01 -4.406641211e+02 -4.406641211e+02 +9.6832e-01 +1.6122e+00 -9.1277e-01 +1.6365e+00 +3.0033e-01
% function evaluation | noise-free fitness - Fopt (-1.702000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.090956911e+06 +6.090956911e+06 +6.090786711e+06 +6.090786711e+06 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00
2 +1.503577554e+05 +1.503577554e+05 +1.501875554e+05 +1.501875554e+05 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00
113 +6.827426423e+04 +6.827426423e+04 +6.810406423e+04 +6.810406423e+04 -4.9991e+00 -1.1026e+00 -3.4506e+00 +2.3760e+00 +4.1454e+00
198 +2.557524319e+04 +2.557524319e+04 +2.540504319e+04 +2.540504319e+04 -2.7377e+00 -4.3480e+00 -1.5629e+00 +4.6434e+00 +1.4677e+00
229 +1.457559523e+04 +1.457559523e+04 +1.440539523e+04 +1.440539523e+04 -2.6789e+00 -4.5983e-02 -1.1631e+00 +4.3899e+00 +2.2067e+00
389 +8.921835178e+03 +8.921835178e+03 +8.751635178e+03 +8.751635178e+03 -2.6789e+00 +2.6649e-01 -7.3312e-01 +4.3899e+00 +2.5689e+00
492 +2.669138282e+03 +2.669138282e+03 +2.498938282e+03 +2.498938282e+03 -1.9071e+00 -1.9307e+00 -3.8429e-01 +4.0287e+00 +3.4243e+00
652 +2.312916424e+03 +2.312916424e+03 +2.142716424e+03 +2.142716424e+03 -5.3725e+00 -1.9307e+00 -3.1915e+00 +3.3857e+00 +2.4405e+00
